"","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","changepoint_range","mse","mae","mape"
"269",0.1,0.01,0.1,"multiplicative",0.8,339462.974608056,515.175047535583,0.0416069206478831
"270",0.1,0.01,0.1,"multiplicative",0.85,338464.671187692,514.210702754644,0.0415421605399847
"271",0.1,0.01,0.1,"multiplicative",0.9,347672.293580645,521.210655753686,0.0422666896471166
"272",0.1,0.01,0.1,"multiplicative",0.95,349110.604088828,522.401027379969,0.0423832381615952
"273",0.1,0.01,1,"additive",0.8,832867.112554126,786.307153933314,0.0645791533752949
"274",0.1,0.01,1,"additive",0.85,829867.948805953,783.754860454639,0.0643384200023476
"275",0.1,0.01,1,"additive",0.9,840440.533871426,789.885080570367,0.064922974710505
"276",0.1,0.01,1,"additive",0.95,841460.679152653,789.333458143331,0.0649093133472329
"277",0.1,0.01,1,"multiplicative",0.8,339462.974608056,515.175047535583,0.0416069206478831
"278",0.1,0.01,1,"multiplicative",0.85,338464.671187692,514.210702754644,0.0415421605399847
"279",0.1,0.01,1,"multiplicative",0.9,347672.293580645,521.210655753686,0.0422666896471166
"280",0.1,0.01,1,"multiplicative",0.95,349110.604088828,522.401027379969,0.0423832381615952
"281",0.1,0.01,10,"additive",0.8,832867.112554126,786.307153933314,0.0645791533752949
"282",0.1,0.01,10,"additive",0.85,829867.948805953,783.754860454639,0.0643384200023476
"283",0.1,0.01,10,"additive",0.9,840440.533871426,789.885080570367,0.064922974710505
"284",0.1,0.01,10,"additive",0.95,841460.679152653,789.333458143331,0.0649093133472329
"285",0.1,0.01,10,"multiplicative",0.8,339462.974608056,515.175047535583,0.0416069206478831
"286",0.1,0.01,10,"multiplicative",0.85,338464.671187692,514.210702754644,0.0415421605399847
"287",0.1,0.01,10,"multiplicative",0.9,347672.293580645,521.210655753686,0.0422666896471166
"288",0.1,0.01,10,"multiplicative",0.95,349110.604088828,522.401027379969,0.0423832381615952
"289",0.1,0.1,0.01,"additive",0.8,819217.686877555,772.983618155182,0.0633477370271787
"290",0.1,0.1,0.01,"additive",0.85,817810.266840866,771.490367380317,0.0631965932114551
"291",0.1,0.1,0.01,"additive",0.9,830024.454216778,778.478215247936,0.0638256335567415
"292",0.1,0.1,0.01,"additive",0.95,829959.888850969,778.082365436824,0.0638400513575846
"293",0.1,0.1,0.01,"multiplicative",0.8,315110.378487225,504.171961319526,0.0408250785862407
"294",0.1,0.1,0.01,"multiplicative",0.85,313505.293822625,502.707103493026,0.0407089083922717
"295",0.1,0.1,0.01,"multiplicative",0.9,323081.613292785,508.125772388103,0.0413173909618831
"296",0.1,0.1,0.01,"multiplicative",0.95,321651.048622098,508.889594331279,0.0413830210968958
"297",0.1,0.1,0.1,"additive",0.8,819217.686877555,772.983618155182,0.0633477370271787
"298",0.1,0.1,0.1,"additive",0.85,817810.266840866,771.490367380317,0.0631965932114551
"299",0.1,0.1,0.1,"additive",0.9,830024.454216778,778.478215247936,0.0638256335567415
